sample_id,gc_content,n_count,read_length_mean,soil_ph,nitrogen_level,phosphorus_level,potassium_level,organic_matter,microbial_diversity,soil_risk
SRR001666.1,0.42,0,36,6.8,45,23,78,3.2,0.78,0.2
SRR001666.2,0.58,0,36,7.2,52,18,65,4.1,0.85,0.1
SRR001666.3,0.47,0,36,5.9,38,12,45,2.8,0.62,0.4
SRR001666.4,0.53,0,36,6.5,41,20,72,3.5,0.75,0.3
SRR001666.5,0.58,0,36,7.4,55,22,68,4.3,0.88,0.1
SRR001666.6,0.47,0,36,6.1,40,15,50,3.0,0.65,0.4
SRR001666.7,0.42,0,36,6.7,43,21,75,3.1,0.76,0.2
SRR001666.8,0.58,0,36,7.3,54,19,67,4.2,0.87,0.1
SRR001666.9,0.47,0,36,5.8,37,11,43,2.7,0.60,0.5
SRR001666.10,0.53,0,36,6.4,42,19,70,3.4,0.74,0.3
SRR001667.1,0.45,1,38,6.9,47,24,80,3.3,0.79,0.2
SRR001667.2,0.56,0,38,7.1,50,17,63,4.0,0.83,0.1
SRR001667.3,0.49,0,38,6.0,39,13,47,2.9,0.64,0.4
SRR001667.4,0.51,0,38,6.6,44,22,74,3.6,0.77,0.2
SRR001667.5,0.57,0,38,7.5,56,23,69,4.4,0.89,0.1
SRR001667.6,0.48,0,38,6.2,41,16,52,3.1,0.67,0.3
SRR001667.7,0.44,0,38,6.8,46,22,76,3.2,0.78,0.2
SRR001667.8,0.55,0,38,7.2,53,20,66,4.1,0.86,0.1
SRR001667.9,0.46,0,38,5.7,36,10,42,2.6,0.59,0.5
SRR001667.10,0.52,0,38,6.3,43,18,69,3.3,0.73,0.3
